labels
dmn_mpfc
dmn_lpl
dmn_lpr
dmn_pcc
sal_acc
sal_ail
sal_air
sal_rpfcl
sal_rpfcr
sal_smgl
sal_smgr
smn_ll
smn_lr
smn_sup
